name,description,type,available_formats,source,coverage_extent,footprint,download_size,recommended_use,date_created,tags,known_issues,alternative_data,derivative_data,relationship_tag,category,download,download_link,order,wms_link,pop_link,thumb,main_image,wms_category
CAPCOG 1997 2m BW,"Black and White 2m  Aerial Photography captured for the 10,496 square mile region database as developed and maintained by the Capital Area Planning Council of Government (CAPCOG).",Raster,SID,CAPCOG,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson",DOQQ,N/A Downloadable,Basemap,1997,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson, County, Orthoimagery, Imagery, Aerial Photography, BW, Black, White, 911, Austin, San Marcos, Georgetown, Historical",,None,Web Service,,Digital Ortho Quadrangle (DOQQ),F,,T,,,,,
CAPCOG 2002 2m NC,"Natural Color 2m Aerial Photography captured for the 10,496 square mile region database as developed and maintained by the Capital Area Planning Council of Government (CAPCOG).",Raster,SID,CAPCOG,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson",DOQQ,N/A Downloadable,Basemap,2002,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, Austin, San Marcos, Georgetown, Historical",,None,Web Service,,Digital Ortho Quadrangle (DOQQ),F,,T,r.tnris.org/arcgis/services/CAPCOG/CAPCOG_2002_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/CAPCOG/CAPCOG_2002_NC/ImageServer?f=jsapi,,,Capital Area Council of Governments (CAPCOG)
CAPCOG 2006,"Natural Color 12 inch Aerial Photography captured for the 10,496 square mile region database as developed and maintained by the Capital Area Planning Council of Government (CAPCOG).",Raster,SID,CAPCOG,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson",DOQQ,N/A Downloadable,Basemap,2006,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, Austin, San Marcos, Georgetown, Historical",,None,Web Service,,Digital Ortho Quadrangle (DOQQ),F,,T,,,,,
CAPCOG 2007 140cm,"FEMA compliant lidar elevation covering Caldwell, Guadalupe, Travis, Williamson counties.  Products include Point Cloud, Bare Earth, Intensity imagery, 3D breaklines, and Contour data for the entire area. This lidar operation was designed to provide a high density set of mass points which are suitable for the development of contours for use in hydraulic/hydrologic model development, and for assessing environmental impacts. Typical uses for the data set include: FEMA Flood Plain Map Modernization, DFIRM map updates, watershed delineation and other hydro studies per FEMA specifications.",Raster,LAS,CAPCOG,"Caldwell, Guadalupe, Travis, Williamson",DOQQQ,N/A Downloadable,"Basemap, Research, Analysis",2007,"Caldwell, Guadalupe, Travis, Williamson, County, Lidar, Point Cloud,  LAS, Elevation, County, Historical",,None,,,Digital Ortho Quadrangle (DOQQ),F,,T,,,,,
CAPCOG 2008 140cm,"FEMA compliant lidar elevation data covering Bastrop, Fayette, Hays counties.  Products include Point Cloud, Bare Earth, Intensity imagery, 3D breakdlines, and Contour data for the entire area. This lidar operation was designed to provide a high density set of mass points within the defined areas suitable for the development of contours for use in hydraulic/hydrologic model development, and for assessing environmental impacts. Typical uses for the data set include: FEMA Flood Plain Map Modernization, DFIRM map updates, watershed delineation and other hydro studies per FEMA specifications.",Raster,LAS,CAPCOG,"Bastrop, Fayette, Hays",DOQQQ,N/A Downloadable,"Basemap, Research, Analysis",2007,"Bastrop, Fayette, Hays, Lidar, Point Cloud,  LAS, Elevation, County, Historical",,,Contours,,Digital Ortho Quadrangle (DOQQ),F,,T,,,,,
CAPCOG 2009,"Natural Color 6 inch Aerial Photography captured for the 10,496 square mile region database as developed and maintained by the Capital Area Planning Council of Government (CAPCOG).",Raster,SID,CAPCOG,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson",DOQQ,N/A Downloadable,Basemap,2009,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Hays, Lee, Llano, Travis, Williamson, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, 911, Austin, San Marcos, Georgetown, Historical",,None,Web Service,,Digital Ortho Quadrangle (DOQQ),F,,T,,,,,
Census 2000,"Census Block, Block Groups and Tracts for the census 2000.",Vector,"Shapefile, GDB",USCB,Texas,"Statewide, County","24.55 MB, 1.50 MB",Basemap,2000,"Population, Statistics, Census, Block, Tract, Group, Demographic, Age, Race, Ethnicity",Is not joined to have all Census information,None,None,,Demographics,T,http://tg-twdb-gemss.s3.amazonaws.com/d/census/tx_census2000.zip,F,,,,,
Census 2010,"Census Block, Block Groups and Tracts for the census 2010. Data has been joined and exported with all related Census tables",Vector,"Shapefile, GDB",USCB,Texas,Statewide,625.38 MB,Basemap,2010,"Population, Statistics, Census, Block, Tract, Group, Demographic, Age, Race, Ethnicity",Very Large,None,None,,Demographics,T,http://tg-twdb-gemss.s3.amazonaws.com/d/census/tx_census2010.zip,F,,,,,
City of Abilene 2009 1ft NC,"Natural Color imagery for the City of Abilene, data was collected at a 1ft resolution.",Raster,Tiff,City of Abilene,City of Abilene,City of Abilene Grid,N/A Downloadable,Basemap,2009,"Abilene, Taylor, foot, NC, Natural Color, City, Imagery, Orthoimagery, Aerial Photography, Historical",,None,Web Service,,Compressed Mosaic,F,,T,,,,,
City of Austin 2003 NC,"Natural Color imagery for the City of Austin, data was collected at a 6 in. resolution.",Raster,SID,City of Austin,City of Austin,City of Austin Grid,N/A Downloadable,Basemap,2003,"Austin, Travis, City,  NC, Natural Color, City, Imagery, Orthoimagery, Aerial Photography, Historical",,None,None,,Digital Ortho Quadrangle (DOQQ),F,,T,,,,,
City of Austin 2006,"Natural Color imagery for the City of Austin, data was collected at a 6 in. resolution during leaf-off season in 2006.",Raster,JP2,City of Austin,City of Austin,City of Austin Grid,N/A Downloadable,Basemap,2006,"Austin, Travis, City,  NC, Natural Color, City, Imagery, Orthoimagery, Aerial Photography, Historical",,None,None,,Digital Ortho Quadrangle (DOQQ),F,,T,,,,,
City of Grand Prairie 2009 70cm,"This lidar project is intended to provide high accuracy, classified multiple return lidar, for approximately 139 square miles, of the City of Grand Prairie, Texas. The lidar data was acquired and processed by Terrapoint USA to support hydrologic modeling and other engineering tasks. The product is a high density mass point dataset with an average point spacing of 0.7m. The data is tiled without a buffer, stored in LAS 1.0 format. The elevation data was verified internally prior to delivery to ensure it met fundamental accuracy requirements when compared kinematic to Terrapoint GPS checkpoints. The lidar dataset for the City of Grand Prairie was tested 0.22ft vertical accuracy based on consolidated RMSE.",Raster,LAS,City of Grand Prairie,City of Grand Prairie,City of Grand Prairie Grid,N/A Downloadable,"Basemap, Research, Analysis",2009,"Grand Prairie, Tarrant, Dallas, City,  NC, Natural Color, City, Imagery, Orthoimagery, Aerial Photography, Historical",,None,,,Digital Ortho Quadrangle (DOQQ),F,,T,,,,,
DRG 024k,"A scanned and rectified image of the USGS 1:24k topographic map series to be used in a geographic information system (GIS). A TIFF, TFW, and metadata file exist for each of the 4,400+ topo sheets that cover the state of Texas. The original intent of the dataset was to create digital base map layers from features depicted in the topographic map such as hydrographic, cultural, or road features, that can be used in a GIS.",Raster,TIFF,USGS,Texas,7.5' Quadrangle,Varies,"Base mapping, feature extraction",Creation date varies; Publication year 1996,"Topographic, DRG, Digital Raster Graphic, Texas, Statewide, Basemap, USGS, National Map, Historical","""While the datum of the published map is retained to be consistent with other USGS digital data, this image is cast on the UTM and may be INCONSISTENT with the credit note on the image collar.""","County Mosaic DRG, Collarless DRG, USGS Topo GeoPDF",None,N/A,Digital Raster Graphics (DRG),T,,F,,,,,
DRG 100K,"A scanned and rectified image of the USGS 1:100k topographic map series to be used in a geographic information system (GIS). A TIFF, TFW, and metadata file covering the state of Texas. The original intent of the dataset was to perform quality assurance on other digital products and as a source for the collection of features, such as hydrographic or building features, that can be used in a GIS. The Digital Raster Graphic (DRG) is a scanned image of a US Geological Survey (USGS) standard series topographic map that includes all collar information (e.g., legend, scale bar, index map, etc.) The DRG is a non-proprietary product of a USGS DRG in which the map collar information has been removed. The DRG is useful as a source for feature extraction or background layer in a GIS or as a means to perform quality assurance on other digital products.  The DRG can also be merged with other digital data, e.g. DEM's or DOQ's, to produce a hybrid digital file. The removal of the collar information allows the DRG to be edge-matched and displayed simultaneously in a GIS.",Raster,TIFF,USGS,Texas,4 quadrangle x 8 quadrangle,Varies,Basemap,Creation date varies; Publication year 1996,"Topographic, DRG, Digital Raster Graphic, Texas, Statewide, Basemap, USGS, National Map, Historical",,,None,,Digital Raster Graphics (DRG),T,,F,,,,,
DRG 250K,"A scanned and rectified image of the USGS 1:250k topographic map series to be used in a geographic information system (GIS). A TIFF, TFW, and metadata file covering the state of Texas. The original intent of the dataset was to perform quality assurance on other digital products and as a source for the collection of features, such as hydrographic or building features, that can be used in a GIS. The Digital Raster Graphic (DRG) is a scanned image of a US Geological Survey (USGS) standard series topographic map that includes all collar information (e.g., legend, scale bar, index map, etc.) The DRG is a non-proprietary product of a USGS DRG in which the map collar information has been removed. The DRG is useful as a source or background layer in a GIS or as a means to perform quality assurance on other digital products.  The DRG can also be merged with other digital data, e.g. DEM's or DOQ's, to produce a hybrid digital file. The removal of the collar information allows the DRG to be edge-matched and displayed simultaneously in a Geographic Information System.",Raster,TIFF,USGS,Texas,1 degree x 2 degree block,Varies,Basemap,Creation date varies; Publication year 1996,"Topographic, DRG, Digital Raster Graphic, Texas, Statewide, Basemap, USGS, National Map, Historical",,,None,,Digital Raster Graphics (DRG),T,,F,,,,,
DRG County Mosaics,A scanned and rectified county mosaic of the USGS 1:24k topographic map series to be used in a geographic information system (GIS). All 254 Texas Counties are in sid compressed format.,Raster,SID,USGS,Texas,County,Varies,Basemap,Creation date varies; Publication year 1996,"Topographic, DRG, Digital Raster Graphic, CCM, County Compressed Mosaic, Texas, Statewide, Basemap, USGS, National Map, Historical",,,None,,Digital Raster Graphics (DRG),T,,F,,,,,
DRG USGS GeoPDF,"US Topo GeoPDF maps are digital topographic maps produced by the National Geospatial Program of the U.S. Geological Survey (USGS). Created in the familiar 7.5-minute quadrangle format like the legacy paper maps, US Topo GeoPDF maps support frequent updating, wide and fast public distribution, and basic, on-screen geographic analysis. Users can turn US Topo data layers on and off as needed, zoom in and out to examine specific features or see a broader area, and print the maps in their entirety or in customized sections on a broad array of printing devices. Viewing and analytical tools are available for free download from Adobe and TerraGo Technologies. File size for each US Topo is about 15-20 megabytes. US Topo maps are produced by the USGS National Geospatial Technical Operations Center.",Raster,PDF,USGS,Texas,Quad,N/A Downloadable,Basemap,2012,"Topographic, GeoPDF, DRG, Digital Raster Graphic, Texas, Statewide, Basemap, USGS, National Map, Historical",,,None,,Digital Raster Graphics (DRG),F,,T,,,,,
El Paso 2003,"Natural Color imagery for the City of El Paso, data was collected at a 12 in. resolution in 2003.",Raster,TIFF,City of El Paso,City of El Paso,USNG,N/A Downloadable,Basemap,2003,"El Paso, City,  NC, Natural Color, City, Imagery, Orthoimagery, Aerial Photography, Historical",,,None,,Compressed Mosaic,F,,T,r.tnris.org/arcgis/services/El_Paso/El_Paso_2003_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/El_Paso/El_Paso_2003_NC/ImageServer?f=jsapi,,,City of El Paso
El Paso 2005,"Natural Color imagery for the City of El Paso, data was collected at a 6 in. resolution in 2005.",Raster,SID,City of El Paso,City of El Paso,USNG,N/A Downloadable,Basemap,2005,"El Paso, City,  NC, Natural Color, City, Imagery, Orthoimagery, Aerial Photography, Historical",,,None,,Compressed Mosaic,F,,T,r.tnris.org/arcgis/services/El_Paso/El_Paso_2005_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/El_Paso/El_Paso_2005_NC/ImageServer?f=jsapi,,,City of El Paso
FEMA 2006 140cm,"This lidar project is intended to provide high density elevation information of 13 coastal counties of Texas. It includes Bare Earth DEM (vegetation removal) and a high density set of mass points within the defined areas. The data sets are suitable for the development of contours for use in hydraulic/hydrologic model development and for assessing environmental impacts. Typical uses include FEMA Digital Flood Rate Insurance Map (DFIRM) updates, watershed boundary delineations and other hydro studies per FEMA specifications. County Mapping projects which include several uses such as flood mitigation assessment and mapping projects that include accuracy verification, reporting, and metadata.",Raster,LAS,FEMA,"Orange, Jefferson, Galveston, Brazoria, Matagorda, Jackson, Victoria, Calhoun, Refugio, Aransas, San Patricio, Nueces",DOQQQ,N/A Downloadable,"Basemap, Research, Analysis",2006,"Orange, Jefferson, Galveston, Brazoria, Matagorda, Jackson, Victoria, Calhoun, Refugio, Aransas, San Patricio, Nueces, Lidar, Point Cloud,  LAS, Elevation, Coastal, County, Historical",,,"DEM, Breaklines, Contours",,lidar,F,,T,,,,,
FEMA 2011 61cm,"This lidar dataset represents digital elevation information covering Comal, Guadalupe, Liberty, Parker Counties, TX. The lidar data was acquired by Fugro EarthData in 2011 using Leica ALS60 lidar system at a nominal point spacing of 0.7 meters. The project was funded by FEMA to assist with hydrologic studies and hydraulic analysis to determine the risk of flood hazards.",Raster,LAS,FEMA,"Comal, Guadalupe, Liberty, Parker",N/A,N/A Downloadable,"Basemap, Research, Analysis",2011,"Comal, Guadalupe, Liberty, Parker, lidar, Point Cloud,  LAS, Elevation, County, Historical",,,Breaklines,,lidar,F,,T,,,,,
FEMA 2013 60cm,"The primary purpose of this project was to develop a consistent and accurate surface elevation dataset derived from high-accuracy Light Detection and Ranging (lidar) technology for the Middle Brazos-Palo Pinto, TX lidar Project Area. The lidar data were processed to a bare-earth digital terrain model (DTM). Detailed breaklines and bare-earth Digital Elevation Models (DEMs) were produced for the project area. Data were formatted according to tiles with each tile covering an area of 1500m by 1500m. A total of 763 tiles were produced for the project encompassing an area of approximately 638 sq. miles.",Raster,LAS,FEMA,Palo Pinto,USNG,N/A Downloadable,"Basemap, Research, Analysis",2013,"Palo Pinto,  Lidar, Point Cloud,  LAS, Elevation, County, Historical",,,"DEM, Breaklines, TIN",,lidar,F,,T,,,,,
FEMA DFIRM,"Maps, Shapefiles and metadata of FEMA's Digital Flood Insurance Rate Maps (DFIRM). The DFIRM for many counties in Texas is available.","Vector, Raster","Shapefile, Tiff",FEMA,Coverage limited to mapped counties,County,N/A Downloadable,Basemap,Creation date varies,"Flood, Risk, Boundary, Zone, FEMA, Floodplain, Hazard, NFIP",,,None,,Floodplain,F,,T,,,,,
FEMA Q3,"The FEMA Digital Q3 Flood Data were developed by scanning the existing Flood Insurance Rate Map (FIRM) hardcopy and capturing a thematic overlay of flood risks. Digital Q3 Flood Data files contain only certain features from the FIRM hardcopy in effect at the time of scanning and do not replace the existing FIRM hardcopy maps. The maps displayed on this site should be considered an advisory tool for general hazard awareness, education, and flood plain management. The flood hazard maps displayed on this site are not the legal document to be used when making a single site flood hazard determination.",Vector,Shapefile,FEMA,Coverage limited to mapped counties,County,,Basemap,1990,"Flood, Risk, Boundary, Zone, FEMA, Floodplain, Hazard, NFIP",,,None,,Floodplain,T,,F,,,,,
Fort Bend 2006 60cm,"Merrick Company was contracted by Michael Baker, Jr., Inc. to provide lidar and digital aerial photography acquisition accurate to support development of two-foot (2') contours and one-foot (1') pixel resolution color digital orthophotography for Fort Bend County, Texas.  Deliverable products include; ASCII x,y,z files of surface points and breaklines in ESRI generate format (l.lin, .pnt), final classified lidar data (LAS format), TIFF and associated world files, DEM surface in binary grid format, and associated project tile layouts.  Area of the project spans approximately 915 square miles.  Products were delivered in accordance with FEMA Guidelines and Specifications for Flood Hazard Mapping Partners.",Raster,LAS,Fort Bend County,Fort Bend County,N/A,N/A Downloadable,"Basemap, Research, Analysis",2006,"Fort Bend,  Lidar, Point Cloud,  LAS, Elevation, County, Historical",,,Breaklines,,lidar,F,,T,,,,,
Geology Raster,"The Geologic Atlas of Texas (GAT) was created as part of the conversion of the University of Texas, Bureau of Economic Geology Geologic Atlas of Texas map sheets. The information depicted in this map was captured at 1:250,000 scale. These data should not be used for mapping at scales larger than 1:250,000. The raster format is a scanned and geo referenced version of the original Geologic Atlas sheets. TNRIS carries the GAT in both raster and vector formats. ",Raster,"Mr. Sid, JPG",BEG,Texas,250k,75MB,General Large scale Geologic information and mapping,1976 2007,"Geology, GAT, Faults",,GAT Geodatabase,,GAT,Geology,T,,F,,,,,
Geology Vector,"The Geologic Atlas of Texas (GAT) was created as part of the conversion of the University of Texas, Bureau of Economic Geology Geologic Atlas of Texas map sheets. The information depicted in this map was captured at 1:250,000 scale. These data should not be used for mapping at scales larger than 1:250,000. The vector version has been digitized off the scanned sheets. TNRIS carries the GAT in both raster and vector formats. ",Vector,Geodatabase,BEG,Texas,Statewide,568 MB,General Large scale Geologic information and mapping,1976 2007,"Geology, GAT, Faults",,GAT Raster,,GAT,Geology,T,,F,services.tnris.org/ags/services/geology/geologic_db_tx_250k/MapServer/WMSServer,services.tnris.org/ags/rest/services/geology/geologic_db_tx_250k/MapServer?f=jsapi,,,
Harris County Flood Control 2001 150cm,"The Harris Co, TX Bare Earth Digital Terrain Surface Database consists of x, y, and z point data derived from an Airborne lidar Topographic Mapping System (ALTMS). The x, y, and z values are stored in ArcInfo Interchange Files. Data was created so that it could be used as highly accurate, inexpensive way to create digital topographic vector and raster files for implementation in Geographic Information Systems (GIS) and used for the Tropical Storm Allison Recovery Project. The use GRID option when importing into ArcInfo grid.  fifteen by fifteen foot cell size. The data points are nominally spaced at 1.5-meter intervals with approximately a 0.50 meter horizontal accuracy.  The 1.5-meter spacing may vary in areas not reflective to laser pulses, such as water bodies, dark asphalt roofs, and some types of glass or fiberglass construction. Surface elevation value accuracy is better than 15 centimeters. Flight altitude is approximately 915 meters, creating a data swath of approximately 550 meters. The elevation data provided is for the bare earth's surface and has vegetation, such as trees and shrubs, as well as the built environment removed from the data set.",Raster,LAS,Harris County Flood Control,Harris County,DOQQQ,N/A Downloadable,"Basemap, Research, Analysis",2001,"Houston, Harris, County, Flood, Lidar, Point Cloud,  LAS, Elevation",,None,,,lidar,F,,T,,,,,
HGAC 1999 50cm,H-GAC 1999 Half Meter Pixel Resolution Digital Orthophoto MrSID Images in Natural Color.,Raster/Imagery,MrSID,"H-GAC (Vendor: Andrew Lonnie Sikes, Inc.)","All of Galveston and Brazoria counties, as well as portions of Fort Bend, Waller, and Montgomery, Chambers counties.",Lambert grid,12.5 GB (entire set),"Basemap, Research",2000,"Houston, Galveston, Harris, Fort Bend, Waller, Montgomery, Chambers, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, Historical",,"NAIP, TOP",,,Imagery,F,,T,r.tnris.org/arcgis/services/HGAC/HGAC_1999_NC/ImageServer/WMSServer,r.tnris.org/arcgis/rest/services/HGAC/HGAC_1999_NC/ImageServer?f=jsapi,,,
HGAC 2002 1ft,H-GAC 2002 1 Foot Resolution Digital Orthophoto MrSID Images in Natural Color.,Raster/Imagery,MrSID,H-GAC (Vendor: Kucera International),"All of Harris, Fort Bend, Montgomery, Waller, 3/4th's of Liberty, 3/4th's of Chambers, and northern portions of Galveston and Brazoria Counties.",Lambert grid,27.5 GB (entire set),"Basemap, Research",2002,"Houston, Galveston, Harris, Fort Bend, Waller, Montgomery, Chambers, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, Historical",,"NAIP, TOP",,,Imagery,F,,T,,,,,
HGAC 2004,H-GAC 2004 1 Foot and 6 Inch (Half Foot) Resolution Digital Orthophoto MrSID Images in Natural Color.,Raster/Imagery,MrSID,H-GAC (Vendor: Kucera International),"All of Harris, Fort Bend, Montgomery, Brazoria, and Galveston counties, the eastern half of Waller County, and small portions of far western Liberty and Chambers counties.",Lambert grid,"1 foot: 29.4 GB, 6-inch: 37.4 GB","Basemap, Research",2004,"Houston, Galveston, Harris, Fort Bend, Waller, Montgomery, Chambers, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, Historical",,"NAIP, TOP",,,Imagery,F,,T,,,,,
HGAC 2006,HGAC 1/2400 Digital Color Orthophotography (2006) in Natural Color.,,MrSID,H-GAC (Vendor: Kucera International),"All of Harris, Fort Bend, Montgomery, Brazoria, Waller and Galveston counties. Portions of far western Liberty and Chambers counties.",Lambert grid,"1 foot: 29.2 GB, 6-inch: 35.8 GB","Basemap, Research",2006,"Houston, Galveston, Harris, Fort Bend, Waller, Montgomery, Chambers, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, Historical",,"NAIP, TOP",,,Imagery,F,,T,,,,,
HGAC 2008,"H-GAC 2008 1 Foot, 6 Inch, and 3 inch Resolution Digital Orthophoto MrSID Images in Natural Color.",Raster/Imagery,MrSID,H-GAC (Vendor: Sanborn),All or portions of the H-GAC region.,Lambert grid,"1 foot: 29.24 GB, 6-inch: 8.69 GB, 3-inch: 773 MB","Basemap, Research",2008,"Houston, Galveston, Harris, Fort Bend, Waller, Montgomery, Chambers, County, Orthoimagery, Imagery, Aerial Photography, NC, Natural Color, Historical",,"NAIP, TOP",,,Imagery,F,,T,,,,,
